시군명,명칭,주소,면적,취득일,데이터기준일자
안양시,안양시예절교육관(별관),경기도 안양시 동안구 평촌대로401번길 62,86.4,1990-08-27,2026-06-30
안양시,안양시비산정수장,경기도 안양시 동안구 비산동 산 145-2,7014.68,1993-07-25,2026-06-30
안양시,안양시노인종합복지관(본관),경기도 안양시 동안구 경수대로665번길 74-30,1876.22,1999-11-06,2026-06-30
안양시,안양시남자단기청소년쉼터,경기도 안양시 동안구 관양동 1450-1 제4층 제401호,328.01,2019-04-08,2026-06-30
안양시,안양시 치매안심센터,경기도 안양시 동안구 관악대로 375,891.25,1994-11-22,2026-06-30
안양시,안양시 장애인지원센터,경기도 안양시 만안구 냉천로 44,1910.41,2010-05-25,2026-06-30
안양시,안양사지전시관,경기도 안양시 만안구 예술공원로103번길 4,1262.62,2013-10-31,2026-06-30
안양시,안양문화원,경기도 안양시 만안구 현충로 53,2648.16,2009-09-11,2026-06-30
안양시,안양노동복지회관,경기도 안양시 만안구 안양로 3,2155.6,1989-12-24,2026-06-30
안양시,안양궁도장,경기도 안양시 동안구 평촌대로 70,373.26,2001-06-12,2026-06-30
안양시,안양9동 행정복지센터,경기도 안양시 만안구 병목안로142번길 12-9,1198.65,1995-08-28,2026-06-30
안양시,안양9동 창암경로당,경기도 안양시 만안구 창박로41번길 34,375.13,2011-02-28,2026-06-30
안양시,안양9동 꿈 나눔터,경기도 안양시 만안구 병목안로142번길 8,90.2,2021-12-31,2026-06-30
안양시,안양8동경로당,경기도 안양시 만안구 냉천로 25,202,2019-11-30,2026-06-30
안양시,안양8동경로당,경기도 안양시 만안구 냉천로 29-1,64.27,1983-07-01,2026-06-30
안양시,안양8동 행정복지센터,경기도 안양시 만안구 안양동 572,2988,2020-05-30,2026-06-30
안양시,안양8동 행정복지센터,경기도 안양시 만안구 안양로111번길 17,2988.19,1996-08-13,2026-06-30
안양시,안양8동 다목적복지회관,경기도 안양시 만안구 명학로5번길 12,1066.09,1997-04-09,2026-06-30
안양시,안양7동경로당,경기도 안양시 만안구 덕천로 94-12,204.34,1989-01-26,2026-06-30
안양시,안양7동 행정복지센터,경기도 안양시 만안구 덕천로 115,2410.21,2017-01-15,2026-06-30
안양시,안양7동 다목적복지회관,경기도 안양시 만안구 덕천로 94-9,1795.85,1995-09-12,2026-06-30
안양시,안양7동 공영주차장,경기도 안양시 만안구 안양동 212-3,3897,2021-05-14,2026-06-30
안양시,안양6동 행정복지센터,경기도 안양시 만안구 안양로170번길 23,1149.58,1994-02-17,2026-06-30
안양시,안양5동경로당,경기도 안양시 만안구 안양로263번길 20,207.9,1988-10-11,2026-06-30
안양시,안양5동 행정복지센터,경기도 안양시 만안구 냉천로157번길 18,2233.79,1997-11-05,2026-06-30
안양시,안양4동(중앙시장)주차장관리사무소,경기도 안양시 만안구 냉천로203번길 15,38.8,2003-07-07,2026-06-30
안양시,안양4동 행정복지센터,경기도 안양시 만안구 냉천로193번길 34,763.87,1995-12-13,2026-06-30
안양시,안양4동 중앙경로당,경기도 안양시 만안구 장내로99번길 9,337.61,1997-06-27,2026-06-30
안양시,안양4동 다목적복지회관,경기도 안양시 만안구 냉천로193번길 41,983.5,1998-09-23,2026-06-30
안양시,안양3동배수지사택,경기도 안양시 만안구 안양동 94-58,48,1988-09-01,2026-06-30
안양시,안양3동 행정복지센터,경기도 안양시 만안구 양화로 28,1913.76,1999-10-16,2026-06-30
안양시,안양2동신규경로당,경기도 안양시 만안구 안양로406번길 7-16,112.86,2014-10-20,2026-06-30
안양시,안양2동 행정복지센터,경기도 안양시 만안구 안양로384번길 50,3289.24,1991-06-29,2026-06-30
안양시,안양2동 다목적복지회관,경기도 안양시 만안구 경수대로 1159,1183.25,1998-07-22,2026-06-30
안양시,안양1동성원(아)경로당,경기도 안양시 만안구 안양동 164-12 성원아파트 101동 208호,59.24,2014-09-18,2026-06-30
