시설,주소,규모(제곱미터),최대 수용인원(명)
한양아파트 지하주차장,"경기도 안양시 동안구 부림로 80(평촌동, 초원한양아파트)",12082,14644
LG아파트 지하주차장,"경기도 안양시 동안구 부림로 52(평촌동, 초원럭키아파트)",7448,9027
성원아파트 지하주차장,"경기도 안양시 동안구 관평로138번길 12(평촌동, 초원성원아파트)",3270,3963
대림아파트 지하주차장,"경기도 안양시 동안구 귀인로 237(평촌동, 초원대림아파트)",9712,11772
대원아파트 지하주차장,"경기도 안양시 동안구 부림로 55(평촌동, 초원대원아파트)",7655,9278
롯데아파트 지하주차장,"경기도 안양시 동안구 평촌대로180번길 28(평촌동, 향촌롯데아파트)",8349,10120
현대4차아파트 지하주차장,"경기도 안양시 동안구 귀인로 193(평촌동, 향촌현대4차아파트)",4199,5089
현대5차아파트 지하주차장,"경기도 안양시 동안구 귀인로 213(평촌동, 향촌현대5차아파트)",7970,9660
평안동행정복지센터 지하,경기도 안양시 동안구 관평로138번길 39(평촌동),147,178
꿈마을 라이프아파트 지하주차장,"경기도 안양시 동안구 귀인로 258(평촌동, 꿈마을라이프아파트)",6526,7910
꿈마을 금호아파트 지하주차장,"경기도 안양시 동안구 관평로 88(평촌동, 꿈마을금호아파트)",7590,9200
꿈마을 한신아파트 지하주차장,"경기도 안양시 동안구 관평로 68(평촌동, 꿈마을한신아파트)",10169,12326
꿈마을 현대아파트 지하주차장,"경기도 안양시 동안구 부림로 13(평촌동, 꿈마을현대아파트)",8056,9764
꿈마을 우성아파트 지하주차장,"경기도 안양시 동안구 부림로 34(평촌동, 꿈마을우성아파트)",6526,7910
꿈마을 건영2차아파트 지하주차장,"경기도 안양시 동안구 부림로 10(평촌동, 꿈마을건영아파트)",4063,4924
꿈마을 건영3차아파트 지하주차장,"경기도 안양시 동안구 귀인로 294(평촌동, 꿈마을동아아파트)",4069,4932
꿈마을 동아아파트 지하주차장,"경기도 안양시 동안구 귀인로 294(평촌동, 꿈마을동아아파트)",8182,9917
꿈마을 라이프아파트 101동,"경기도 안양시 동안구 귀인로 258(평촌동, 꿈마을라이프아파트)",747,905
꿈마을한신아파트 703동,"경기도 안양시 동안구 관평로 68(평촌동, 꿈마을한신아파트)",747,905
꿈마을 우성아파트 203동,"경기도 안양시 동안구 부림로 34(평촌동, 꿈마을우성아파트)",684,829
귀인마을 현대홈타운 101동 지하주차장,"경기도 안양시 동안구 귀인로 208(평촌동, 귀인마을현대홈타운)",7009,8481
귀인마을 현대홈타운 203동 지하주차장,"경기도 안양시 동안구 귀인로 210(평촌동, 귀인마을현대홈타운)",7556,9143
귀인동 행정복지센터 지하,경기도 안양시 동안구 부림로 16(평촌동),198,240
농수산물도매시장 지하주차장,경기도 안양시 동안구 흥안대로 313(평촌동),13760,16678
봉성빌딩,경기도 안양시 동안구 경수대로 606(호계동),265,321
양의문교회,경기도 안양시 동안구 경수대로596번길 8(호계동),331,401
삼성홈플러스(호계점)국제유통단지 지하주차장,경기도 안양시 동안구 엘에스로 92(호계동),142811,173104
대은빌딩,경기도 안양시 동안구 엘에스로91번길 45(호계동),357,432
호계1동 행정복지센터 지하,경기도 안양시 동안구 경수대로 538(호계동),231,280
평촌어바인퍼스트 1단지 지하주차장,"경기도 안양시 동안구 경수대로 581(호계동, 평촌 어바인 퍼스트)",108365,131351
평촌어바인퍼스트 1단지 지하주차장,"경기도 안양시 동안구 경수대로 583(호계동, 평촌 어바인 퍼스트)",54022,65481
럭키아파트 101동 지하주차장,"경기도 안양시 동안구 경수대로623번길 46(호계동, 럭키호계아파트)",5678,6682
LD범계마을아파트 지하주차장,"경기도 안양시 동안구 귀인로79번길 12(호계동, LD범계마을아파트)",2933,3555
호산아파트 지하주차장,"경기도 안양시 동안구 경수대로721번길 44-28(호계동, 호산아파트)",3256,3946
흥화아파트 지하주차장,"경기도 안양시 동안구 귀인로98번길 13(호계동, 흥화아파트)",7891,9564
금호아파트 지하주차장,"경기도 안양시 동안구 귀인로80번길 5(호계동, 호계동 금호아파트)",4056,4916
효성아파트 지하주차장,"경기도 안양시 동안구 시민대로110번길 43(호계동, 호계동 효성아파트)",7233,8767
한마음아파트 지하주차장,"경기도 안양시 동안구 경수대로797번길 5(호계동, 한마음아파트)",19729,23913
푸른마을삼성아파트 지하주차장,"경기도 안양시 동안구 귀인로82번길 54(호계동, 푸른마을삼성아파트)",1990,23913
일신아파트 지하주차장,"경기도 안양시 동안구 경수대로707번길 52(호계동, 일신아파트)",1385,1678
흥화2차아파트 지하주차장,"경기도 안양시 동안구 경수대로623번길 60(호계동, 흥화브라운빌아파트)",3141,1678
흥화3차아파트 지하주차장,"경기도 안양시 동안구 경수대로609번길 26(호계동, 에이치에이치아이 브라운빌 3차)",3943,4779
현대홈타운아파트,"경기도 안양시 동안구 경수대로733번길 23(호계동, 호계1차 현대홈타운)",15095,18296
신성미소지움아파트,"경기도 안양시 동안구 경수대로707번길 39(호계동, 신성호계미소지움아파트)",9310,11284
호계현대아파트 지하주차장,"경기도 안양시 동안구 포도원로27번길 44(호계동, 현대아파트)",1493,1809
일신건영아파트 지하주차장,경기도 안양시 동안구 호성로 37(호계동),5220,6327
삼익아파트 지하주차장,"경기도 안양시 동안구 경수대로 480(호계동, 삼익아파트)",5815,7048
KT전화국 지하,경기도 안양시 동안구 경수대로 507(호계동),1511,1831
우양빌딩,경기도 안양시 동안구 경수대로 527(호계동),624,756
삼호우주아파트 지하주차장,"경기도 안양시 동안구 경수대로 492(호계동, 삼호우주아파트)",1649,1998
호계2차현대홈타운아파트 지하주차장,"경기도 안양시 동안구 경수대로 462(호계동, 호계2차현대홈타운)",84882,102887
호계아크로리버아파트 지하주차장,"경기도 안양시 동안구 엘에스로 35(호계동, 호계아크로리버)",14750,17878
호계e편한세상아파트 지하주차장,"경기도 안양시 동안구 경수대로 430(호계동, 호계 e-편한세상아파트)",78235,94830
호계복합청사,경기도 안양시 동안구 경수대로 504(호계동),2089,2532
목련아파트1단지 지하주차장,"경기도 안양시 동안구 동안로 101(호계동, 목련선경아파트)",10331,12522
목련아파트3단지 지하주차장,"경기도 안양시 동안구 평촌대로211번길 21(호계동, 목련우성아파트)",780,945
목련아파트5단지 지하주차장,"경기도 안양시 동안구 평촌대로179번길 30(호계동, 목련우성아파트)",732,887
목련아파트6단지 지하주차장,"경기도 안양시 동안구 평촌대로179번길 27(호계동, 목련두산아파트)",8368,10143
목련아파트7단지 지하주차장,"경기도 안양시 동안구 귀인로 157(호계동, 목련우성7차아파트)",8336,10104
목련아파트8단지 지하주차장,"경기도 안양시 동안구 동안로 57(호계동, 목련 동아,경남아파트)",9534,11556
목련아파트9단지 지하주차장,"경기도 안양시 동안구 동안로 75(호계동, 목련신동아아파트)",9534,14144
뉴코아아울렛 지하주차장,경기도 안양시 동안구 동안로 119(호계동),23131,28037
범계지하철역 지하,경기도 안양시 동안구 호계동 1039-2 범계역,4304,5216
금호아파트(전동 지하) 지하주차장,"경기도 안양시 동안구 동안로 40(호계동, 무궁화금호아파트)",3603,4367
건영아파트(전동지하) 지하주차장,"경기도 안양시 동안구 동안로 11(호계동, 무궁화코오롱,건영아파트)",2893,3506
코오롱아파트(전동지하) 지하주차장,"경기도 안양시 동안구 동안로 11(호계동, 무궁화코오롱,건영아파트)",1851,2243
진흥아파트(전동 지하) 지하주차장,"경기도 안양시 동안구 동안로 6(호계동, 무궁화진흥아파트)",2615,3169
한양 효성아파트(전동 지하) 지하주차장,"경기도 안양시 동안구 동안로 35(호계동, 무궁화 효성,한양아파트)",3045,3690
경남아파트(전동 지하) 지하주차장,"경기도 안양시 동안구 귀인로172번길 22(호계동, 무궁화경남아파트)",8777,10638
태영아파트(전동 지하) 지하주차장,경기도 안양시 동안구 동안로 28(호계동),10338,12530
신촌동 행정복지센터 지하,경기도 안양시 동안구 동안로 28(호계동),847,1026
먹자골목 지하보도,경기도 안양시 동안구 평촌대로 127(호계동),602,729
신기중학교 지하보도,경기도 안양시 동안구 갈산로 86(호계동),321,389
갈산동행정복지센터 지하,경기도 안양시 동안구 흥안대로223번길 30(호계동),215,260
쌍용아파트 지하주차장(3개소통합),"경기도 안양시 동안구 흥안대로223번길 16(호계동, 샘마을)",7276,8819
우방아파트 지하주차장(3개소통합),"경기도 안양시 동안구 흥안대로249번길 18(호계동, 샘마을아파트)",6363,7712
임광아파트 지하주차장(3개소통합),"경기도 안양시 동안구 평촌대로40번길 100(호계동, 샘마을아파트)",10862,13166
"대우,한양아파트 지하주차장(5개소통합)","경기도 안양시 동안구 흥안대로223번길 47(호계동, 샘마을대우,한양아파트)",12884,15616
한양아파트 지하주차장(3개소통합),"경기도 안양시 동안구 흥안대로223번길 47(호계동, 샘마을대우,한양아파트)",3304,4004
호계시장 앞 지하보도(지하 1층),경기도 안양시 동안구 경수대로 562 (호계동),276,334
우편집중국 앞 지하보도(지하 1층),경기도 안양시 동안구 평촌대로 223 (호계동),375,454
호계2동 행정복지센터 지하,경기도 안양시 동안구 경수대로 657 (호계동),788,955
부흥동 행정복지센터 지하,경기도 안양시 동안구 달안로 28(비산동),122,147
만안평생교육센터,경기도 안양시 만안구 냉천로 39(안양동),5931,7189
