id,pnu,dong,jibun,use,year,fl_up,fl_dn,score,grade,f_nbv,f_age,lon,lat
21769,4117310300109170004,평촌동,917-4,단독주택,1994.0,3.0,1.0,0.4348,A,0.286,32.0,126.961657,37.383051
17322,4117110100110880011,안양동,1088-11,공동주택,2003.0,4.0,1.0,0.4347,A,0.182,23.0,126.901033,37.383073
48369,4117310200114650022,관양동,1465-22,공동주택,2017.0,5.0,0.0,0.4323,A,0.127,9.0,126.966325,37.403846
838,4117110200107590003,석수동,759-3,제1종근린생활시설,1989.0,3.0,1.0,0.4293,A,0.143,37.0,126.897488,37.407131
22336,4117310400110670008,호계동,1067-8,공동주택,1996.0,3.0,1.0,0.4281,A,0.125,30.0,126.959147,37.382079
2730,4117110100106740039,안양동,674-39,제1종근린생활시설,1979.0,4.0,1.0,0.426,A,0.069,47.0,126.921381,37.400114
23246,4117310400110440007,호계동,1044-7,제2종근린생활시설,2003.0,5.0,1.0,0.425,A,0.533,23.0,126.954852,37.391426
14063,4117110100104930011,안양동,493-11,공동주택,2013.0,5.0,0.0,0.4238,A,0.085,13.0,126.929341,37.386993
45127,4117110100108730015,안양동,873-15,공동주택,2014.0,5.0,0.0,0.4231,A,0.126,12.0,126.914181,37.401591
5551,4117110100106950169,안양동,695-169,단독주택,1993.0,3.0,1.0,0.4223,A,0.325,33.0,126.918511,37.400619
2481,4117110300100170006,박달동,17-6,제1종근린생활시설,1988.0,5.0,1.0,0.4213,A,0.147,38.0,126.909628,37.403657
21750,4117310300109190008,평촌동,919-8,단독주택,1995.0,3.0,1.0,0.4205,A,0.188,31.0,126.962117,37.383493
12095,4117310100110380018,비산동,1038-18,제2종근린생활시설,1989.0,4.0,1.0,0.4196,A,0.051,37.0,126.950717,37.404039
14709,4117110100102280006,안양동,228-6,제2종근린생활시설,1986.0,3.0,1.0,0.4195,A,0.091,40.0,126.935141,37.387081
14069,4117310100104220000,비산동,422,제2종근린생활시설,1980.0,3.0,1.0,0.4175,A,0.042,46.0,126.938775,37.397116
28185,4117310100101680002,비산동,168-2,제2종근린생활시설,2012.0,3.0,0.0,0.4172,A,0.5,14.0,126.950924,37.409549
28496,4117110100105330006,안양동,533-6,공동주택,2009.0,20.0,5.0,0.4162,A,0.188,17.0,126.934071,37.386414
44194,4117110100105180046,안양동,518-46,공동주택,2015.0,5.0,0.0,0.4157,A,0.055,11.0,126.932206,37.388259
22034,4117310300109200012,평촌동,920-12,단독주택,1995.0,3.0,1.0,0.4155,A,0.176,31.0,126.962778,37.383056
25450,4117310400111090009,호계동,1109-9,단독주택,2002.0,3.0,1.0,0.4136,A,0.085,24.0,126.963267,37.373064
18585,4117310300101380014,평촌동,138-14,제2종근린생활시설,1991.0,5.0,1.0,0.4124,A,0.056,35.0,126.973042,37.38684
24217,4117310300109300006,평촌동,930-6,단독주택,1995.0,3.0,1.0,0.4105,A,0.219,31.0,126.96521,37.383003
13743,4117310400108920001,호계동,892-1,제2종근린생활시설,1983.0,1.0,0.0,0.41,A,0.067,43.0,126.942228,37.390916
19532,4117310300109180001,평촌동,918-1,단독주택,1994.0,3.0,1.0,0.4099,A,0.23,32.0,126.961825,37.383593
20375,4117110100108300020,안양동,830-20,공동주택,2013.0,5.0,0.0,0.4099,A,0.118,13.0,126.914447,37.40302
3472,4117110100106950188,안양동,695-188,제1종근린생활시설,1987.0,3.0,1.0,0.4094,A,0.234,39.0,126.918619,37.400216
19575,4117310300109200000,평촌동,920,단독주택,1995.0,3.0,1.0,0.4087,A,0.216,31.0,126.962609,37.383422
7348,4117310100110310011,비산동,1031-11,제1종근린생활시설,1983.0,3.0,1.0,0.4083,A,0.082,43.0,126.949918,37.40464
17321,4117110100110880012,안양동,1088-12,공동주택,2003.0,4.0,1.0,0.4082,A,0.211,23.0,126.90089,37.382948
19223,4117310300109280010,평촌동,928-10,단독주택,1995.0,3.0,1.0,0.408,A,0.167,31.0,126.964626,37.383275
21711,4117310300109280005,평촌동,928-5,단독주택,1996.0,3.0,1.0,0.4077,A,0.167,30.0,126.964293,37.383342
28763,4117110100107110104,안양동,711-104,공동주택,2013.0,5.0,0.0,0.4068,A,0.03,13.0,126.917466,37.397538
21723,4117310300109200005,평촌동,920-5,단독주택,1993.0,3.0,1.0,0.4065,A,0.164,33.0,126.963022,37.382978
18511,4117110100104350009,안양동,435-9,공동주택,2008.0,20.0,4.0,0.4043,A,0.147,18.0,126.931504,37.391232
815,4117110200107850028,석수동,785-28,제1종근린생활시설,1990.0,4.0,1.0,0.4038,A,0.212,36.0,126.89858,37.406978
46444,4117110100108730147,안양동,873-147,공동주택,2017.0,5.0,0.0,0.4022,A,0.149,9.0,126.91515,37.400581
45138,4117110100108590015,안양동,859-15,공동주택,2014.0,5.0,0.0,0.4016,A,0.109,12.0,126.916732,37.408377
3380,4117110100106950001,안양동,695-1,제2종근린생활시설,1989.0,4.0,1.0,0.4005,A,0.141,37.0,126.913479,37.402469
10712,4117110100107110185,안양동,711-185,제1종근린생활시설,1986.0,2.0,1.0,0.4,A,0.066,40.0,126.917759,37.395567
38166,4117110300100250014,박달동,25-14,공동주택,2015.0,5.0,0.0,0.3997,A,0.101,11.0,126.909,37.40697
12136,4117310100110380017,비산동,1038-17,제1종근린생활시설,1989.0,4.0,1.0,0.3988,A,0.048,37.0,126.95083,37.404035
27348,4117110100113270008,안양동,1327-8,제1종근린생활시설,2008.0,3.0,0.0,0.3988,A,0.28,18.0,126.922453,37.418661
2978,4117110300100220020,박달동,22-20,제1종근린생활시설,1986.0,4.0,1.0,0.3987,A,0.232,40.0,126.909561,37.404986
2599,4117110100106950175,안양동,695-175,제2종근린생활시설,1980.0,2.0,2.0,0.3987,A,0.358,46.0,126.919057,37.400888
19537,4117310300109200008,평촌동,920-8,제1종근린생활시설,1999.0,2.0,0.0,0.3986,A,0.256,27.0,126.962633,37.382835
3376,4117110100106950057,안양동,695-57,제2종근린생활시설,1992.0,5.0,1.0,0.3972,A,0.133,34.0,126.913683,37.401965
43542,4117110100104960001,안양동,496-1,공동주택,2014.0,5.0,0.0,0.3968,A,0.062,12.0,126.927696,37.387121
28194,4117310200113810008,관양동,1381-8,제2종근린생활시설,2013.0,1.0,0.0,0.3963,A,0.133,13.0,126.953968,37.40367
19521,4117310300109280007,평촌동,928-7,공동주택,1995.0,3.0,1.0,0.3947,A,0.151,31.0,126.964538,37.383439
42859,4117110200102920012,석수동,292-12,공동주택,2014.0,5.0,0.0,0.3924,A,0.091,12.0,126.906641,37.412244
10713,4117110100107110183,안양동,711-183,제1종근린생활시설,1988.0,3.0,1.0,0.3923,A,0.073,38.0,126.917687,37.395651
2680,4117110100106950052,안양동,695-52,제2종근린생활시설,1990.0,4.0,1.0,0.3921,A,0.146,36.0,126.913654,37.402472
14002,4117110100105100014,안양동,510-14,제2종근린생활시설,1990.0,4.0,1.0,0.3921,A,0.182,36.0,126.93076,37.388577
16728,4117110100108970020,안양동,897-20,공동주택,2012.0,5.0,0.0,0.391,A,0.171,14.0,126.913581,37.40037
836,4117110200107590005,석수동,759-5,업무시설,1988.0,3.0,1.0,0.3901,A,0.146,38.0,126.897575,37.406901
2579,4117110100106740029,안양동,674-29,제2종근린생활시설,1980.0,3.0,1.0,0.39,A,0.081,46.0,126.921665,37.40025
28641,4117110200108200006,석수동,820-6,제2종근린생활시설,2010.0,1.0,0.0,0.389,A,0.333,16.0,126.922374,37.41936
6033,4117310200114090001,관양동,1409-1,제2종근린생활시설,1991.0,5.0,1.0,0.3872,A,0.0,35.0,126.958749,37.406377
21744,4117310300109190002,평촌동,919-2,단독주택,1995.0,3.0,1.0,0.387,A,0.215,31.0,126.962335,37.383415
10154,4117110100106270209,안양동,627-209,제2종근린생활시설,1981.0,2.0,1.0,0.3858,A,0.045,45.0,126.924053,37.393667
5903,4117110200103510005,석수동,351-5,제1종근린생활시설,2006.0,3.0,1.0,0.385,A,0.167,20.0,126.904442,37.413917
8196,4117110300100150015,박달동,15-15,제1종근린생활시설,1992.0,6.0,1.0,0.3848,A,0.188,34.0,126.908873,37.404921
21739,4117310300109190003,평촌동,919-3,단독주택,1994.0,3.0,1.0,0.3836,A,0.265,32.0,126.962396,37.383291
42866,4117110200102920001,석수동,292-1,공동주택,2014.0,7.0,0.0,0.3832,A,0.087,12.0,126.906526,37.412939
5347,4117310200114840021,관양동,1484-21,제1종근린생활시설,1989.0,3.0,1.0,0.3821,A,0.121,37.0,126.973591,37.40114
15993,4117110100104320002,안양동,432-2,제2종근린생활시설,1990.0,5.0,1.0,0.3818,A,0.091,36.0,126.93046,37.391276
38504,4117110300101000002,박달동,100-2,공동주택,2015.0,5.0,0.0,0.3808,A,0.11,11.0,126.908535,37.402762
19577,4117310300109180005,평촌동,918-5,단독주택,1994.0,3.0,1.0,0.3803,A,0.25,32.0,126.962117,37.383042
12702,4117310200114890014,관양동,1489-14,제1종근린생활시설,1990.0,4.0,1.0,0.3801,A,0.172,36.0,126.975607,37.401351
11665,4117310200114500000,관양동,1450,제1종근린생활시설,1984.0,4.0,1.0,0.3793,A,0.208,42.0,126.961218,37.403458
19528,4117310300109190007,평촌동,919-7,단독주택,1994.0,3.0,1.0,0.3789,A,0.203,32.0,126.962187,37.383362
19576,4117310300109200014,평촌동,920-14,단독주택,1996.0,3.0,1.0,0.3784,A,0.195,30.0,126.962659,37.383304
42845,4117110200102890004,석수동,289-4,공동주택,2014.0,6.0,0.0,0.3782,A,0.101,12.0,126.908362,37.412753
4986,4117110200101040188,석수동,104-188,제2종근린생활시설,1995.0,5.0,1.0,0.3777,A,0.25,31.0,126.909461,37.419215
5552,4117110100106950183,안양동,695-183,단독주택,1997.0,3.0,1.0,0.3774,A,0.291,29.0,126.918279,37.400433
51219,4117110300100560014,박달동,56-14,공동주택,2018.0,5.0,0.0,0.3773,A,0.131,8.0,126.9105,37.405583
9223,4117110300101000009,박달동,100-9,제2종근린생활시설,1994.0,5.0,1.0,0.3762,A,0.105,32.0,126.908655,37.402945
